route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
89_1,FULLW,89_1_PM_2,,,,shape_2787
89_1,FULLW,89_1_PM_3,,,,shape_2788
89_1,FULLW,89_1_PM_4,,,,shape_2789
89_1,FULLW,89_1_PM_5,,,,shape_2790
89_1,FULLW,89_1_PM_6,,,,shape_2791
89_1,FULLW,89_1_PM_7,,,,shape_2792
89_1,FULLW,89_1_PM_8,,,,shape_2793
89_1,FULLW,89_1_PM_9,,,,shape_2794
89_1,FULLW,89_1_PM_10,,,,shape_2795
89_2,FULLW,89_2_PM_1,,,,shape_2796
89_2,FULLW,89_2_PM_2,,,,shape_2797
89_2,FULLW,89_2_PM_3,,,,shape_2798
89_2,FULLW,89_2_PM_4,,,,shape_2799
89_2,FULLW,89_2_PM_5,,,,shape_2800
89_2,FULLW,89_2_PM_6,,,,shape_2801
89_2,FULLW,89_2_PM_7,,,,shape_2802
89_2,FULLW,89_2_PM_8,,,,shape_2803
89_2,FULLW,89_2_PM_9,,,,shape_2804
89_2,FULLW,89_2_PM_10,,,,shape_2805
90_1,FULLW,90_1_PM_1,,,,shape_2806
90_1,FULLW,90_1_PM_2,,,,shape_2807
90_1,FULLW,90_1_PM_3,,,,shape_2808
90_1,FULLW,90_1_PM_4,,,,shape_2809
90_1,FULLW,90_1_PM_5,,,,shape_2810
90_1,FULLW,90_1_PM_6,,,,shape_2811
90_1,FULLW,90_1_PM_7,,,,shape_2812
90_1,FULLW,90_1_PM_8,,,,shape_2813
90_1,FULLW,90_1_PM_9,,,,shape_2814
90_1,FULLW,90_1_PM_10,,,,shape_2815
90_1,FULLW,90_1_PM_11,,,,shape_2816
90_2,FULLW,90_2_PM_1,,,,shape_2817
90_2,FULLW,90_2_PM_2,,,,shape_2818
90_2,FULLW,90_2_PM_3,,,,shape_2819
90_2,FULLW,90_2_PM_4,,,,shape_2820
90_2,FULLW,90_2_PM_5,,,,shape_2821
90_2,FULLW,90_2_PM_6,,,,shape_2822
90_2,FULLW,90_2_PM_7,,,,shape_2823
90_2,FULLW,90_2_PM_8,,,,shape_2824
90_2,FULLW,90_2_PM_9,,,,shape_2825
90_2,FULLW,90_2_PM_10,,,,shape_2826
90_2,FULLW,90_2_PM_11,,,,shape_2827
91_1,FULLW,91_1_PM_1,,,,shape_2828
91_1,FULLW,91_1_PM_2,,,,shape_2829
91_1,FULLW,91_1_PM_3,,,,shape_2830
